wellid,YEAR,AF Pumped
312656109390901,1995,2.0
312656109390901,1996,2.0
312656109390901,1997,2.0
312656109390901,2001,2.0
312656109390901,2002,2.0
312656109390901,2003,2.0
312656109390901,2005,1.0
312656109390901,2006,2.0
312656109390901,2007,2.0
312656109390901,2008,2.0
312656109390901,2009,1.0
313631111031501,2006,43.23
313631111031501,2007,165.35
313631111031501,2008,140.53
313631111031501,2009,187.02
313631111031501,2010,75.84
313631111031501,2011,91.43
313631111031501,2012,91.24
313631111031501,2013,72.02
313631111031501,2014,27.85
313631111031501,2015,43.19
313631111031501,2016,120.28
313631111031501,2017,138.44
313631111031501,2018,134.61
313631111031501,2019,133.83
313658111031201,1984,39.59
313658111031201,1985,88.65
313658111031201,1986,86.7
313658111031201,1987,104.61
313658111031201,1988,98.07
313658111031201,1989,61.37
313658111031201,1990,43.66
313658111031201,1991,84.75
313658111031201,1992,43.2
313658111031201,1993,44.51
313658111031201,1994,71.06
313658111031201,1995,38.23
313658111031201,1996,47.61
313658111031201,1997,276.74
313658111031201,1998,268.39
313658111031201,1999,268.56
313658111031201,2000,273.39
313658111031201,2001,271.47
313658111031201,2002,259.0
313658111031201,2003,303.58
313658111031201,2004,310.59
313658111031201,2005,343.13
313658111031201,2006,249.24
313658111031201,2007,131.09
313658111031201,2008,141.55
313658111031201,2009,27.81
313658111031201,2010,108.67
313658111031201,2011,123.97
313658111031201,2012,110.14
313658111031201,2013,94.5
313658111031201,2014,29.52
313658111031201,2015,26.23
313658111031201,2016,79.93
313658111031201,2017,95.64
313658111031201,2018,95.17
313658111031201,2019,89.9
313727111024501,1984,39.5
313727111024501,1985,24.25
313727111024501,1986,30.71
313727111024501,1987,27.91
313727111024501,1988,46.59
313727111024501,1989,101.47
313727111024501,1990,99.67
313727111024501,1991,9.47
313727111024501,1992,58.3
313727111024501,1993,92.07
313727111024501,1994,157.49
313727111024501,1995,198.4
313727111024501,1996,196.4
313727111024501,1997,0.23
313727111024501,1998,2.51
313727111024501,1999,9.57
313727111024501,2000,10.03
313727111024501,2001,1.95
313727111024501,2002,61.54
313727111024501,2003,23.01
313727111024501,2004,21.65
313727111024501,2005,26.76
313727111024501,2006,18.08
313727111024501,2007,21.53
313727111024501,2008,26.29
313727111024501,2009,7.79
313727111024501,2010,0.96
313727111024501,2011,0.05
313727111024501,2012,0.04
313727111024501,2013,0.02
313727111024501,2014,0.63
313727111024501,2015,0.05
313727111024501,2016,0.02
313727111024501,2019,0.04
313817111141001,1984,90.0
313817111141001,1985,120.0
313817111141001,1986,90.0
313817111141001,1987,100.0
313817111141001,1988,89.04
313817111141001,1989,100.0
313817111141001,1990,102.0
313817111141001,1992,5.0
313817111141001,1994,8.0
313817111141001,1997,108.71
313817111141001,1998,77.86
313817111141001,1999,47.32
313817111141001,2000,51.43
313817111141001,2001,6.56
313817111141001,2002,1.88
313817111141001,2003,23.1
313817111141001,2004,3.49
313817111141001,2005,1.09
313817111141001,2006,3.99
313817111141001,2007,3.59
313817111141001,2008,0.67
313817111141001,2009,2.19
313817111141001,2012,1.5
313817111141001,2013,2.0
313817111141001,2017,15.0
313817111141001,2018,8.0
313817111141001,2019,9.277
314530109413101,2015,440.0
314530109413101,2016,409.0
314530109413101,2017,450.21
314530109413101,2018,475.0
314530109413101,2019,394.2
314557109392401,2008,25.0
314557109392401,2011,1.0
314557109392401,2012,1.0
314806109423301,2000,372.6
314806109423301,2001,327.4
314806109423301,2002,332.3
314806109423301,2003,263.0
314806109423301,2004,252.0
314806109423301,2005,281.0
314806109423301,2006,392.0
