,mean
,depth
wellid,
3314281114620,47.2
33131111532801,79.8
33253111231901,165.0
35442109265701,173.75
311959109050601,20.65
311959110372001,26.7
312002109154601,0.0
312003109153701,14.5
312003109154601,-41.977000000000004
312004109153601,13.9
312004109153701,14.3
312006109180601,29.94238095238095
312006110075501,39.350937499999986
312006110371901,13.91923076923077
312006110505101,9.071176470588235
312009109155401,9.9
312009109203001,213.25
312010109161601,-0.755
312011109164101,1.9
312011109164201,3.9
312011109470901,22.5
312011109570901,150.60000000000002
312012109163701,29.7
312012109232901,178.8
312012109563401,118.0
312012109565601,135.7
312012110364901,4.0
312012110480901,25.6
312013109470901,25.1
312013109564801,152.0
312014109153801,-2.89
312014109501301,19.7
312015109345901,26.4
312015110135800,624.9
312016109514101,31.633333333333336
312017109514101,29.03
312017110573001,205.87477272727273
312019109120401,94.2
312019109280801,61.199999999999996
312020109321201,266.8
312020109341901,190.425
312020110373701,27.5
312021109341901,186.53333333333333
312021109554301,105.48
312022109160801,0.0
312022110562001,47.4
312023109321501,261.0
312023109570401,154.49
312024109331501,45.6
312024110291901,30.2
312025110080201,20.0
312026109155201,0.0
312026109155401,28.1
312026109564901,106.39
312026110081401,25.0
312026110373801,22.69
312027109141701,20.7
312027109155401,23.6
312027110133501,207.0
312027110485501,74.9357142857143
312028109142001,16.85
312029109365901,59.75
312030109141801,8.6
312030110052001,159.3
312031109503001,43.2
312031109563301,107.975
312031110363201,17.158125000000002
312032109141801,18.0
312032110555101,23.799999999999997
312033109563201,76.79
312036109261601,134.88500000000002
312036110385401,88.0
312037109351801,27.25
312037109392901,122.3
312037109394801,137.65
312037110510101,6.688382838283825
312038110510101,9.0
312039109453901,36.1
312039109560701,116.45
312039109561001,93.5
312039110080101,19.5
312039110082601,34.6
312039110084701,47.1
312040109153501,0.0
312040109154001,0.0
312042109032501,8.309999999999999
312042109345001,25.9
312042110133801,320.0
312043109365001,56.9
312043110152301,44.0
312044109154101,-3.85
312044110135101,120.15
312044110141901,34.9016
312044110152601,66.8
312045109332001,255.625
312045109503601,90.0
312045110134001,255.89999999999998
312045110135101,123.69999999999999
312045110135201,134.6
312046109332701,96.39
312046109422101,228.8
312046110135201,136.44
312046110135301,130.05
312046110554901,11.8
312047110134401,270.91999999999996
312047110135201,215.0
312047110135202,216.0
312047110135301,138.05
312047110142201,41.8925
312047110505301,21.95
312048110083701,41.68666666666667
312048110090501,63.0
312048110134201,271.575
312048110134501,250.0
312048110504901,10.758418604651158
312049110134901,165.6
312049110134902,150.0
312050109154201,0.0
312050109331701,55.55
312050110134201,267.91999999999996
312050110135201,235.0
312050110135301,147.29999999999998
312050110135401,250.0
312050110504501,8.311044776119406
312051110135201,235.05000000000004
312052109135201,24.0
312052109352101,159.8
312052109353701,142.8
312052109572901,135.42499999999998
312052109573501,109.84999999999998
312052110135201,152.41
312052110141001,70.06666666666666
312053110152701,195.0
312054109352401,162.0
312054110162101,7.1
312055109364701,55.76666666666667
312056109364801,52.76307692307693
312056109473301,106.0
312056110080301,19.52
312057109552501,165.89999999999998
312057110224701,14.8
312057110502701,13.0
312057110552701,13.23
312058109322601,304.9
312058109531801,128.0
312058109552501,159.23333333333335
312058109582101,70.86428571428571
312058110504901,7.8025
312059109135001,35.0
312059109321001,321.84000000000003
312059109551001,162.21999999999997
312059109573501,105.19999999999999
312059110010001,238.42499999999998
312100109552001,173.925
312100109552201,151.10000000000002
312101109375401,77.7
312101109532901,83.92666666666666
312101109561201,140.35
312102109401601,168.85
312102109551101,183.95
312102109552601,168.6
