wellid,Measurements
3314281114620,1
33131111532801,1
33253111231901,1
35442109265701,2
311959109050601,4
311959110372001,1
312002109154601,1
312003109153701,1
312003109154601,9
312004109153601,1
312004109153701,1
312006109180601,35
312006110075501,37
312006110371901,17
312006110505101,10
312009109155401,1
312009109203001,2
312010109161601,4
312011109164101,1
312011109164201,1
312011109470901,2
312011109570901,4
312012109163701,1
312012109232901,1
312012109563401,1
312012109565601,2
312012110364901,1
312012110480901,1
312013109470901,1
312013109564801,1
312014109153801,1
312014109501301,1
312015109345901,2
312015110135800,1
312016109514101,3
312017109514101,2
312017110573001,35
312019109120401,1
312019109280801,10
312020109321201,1
312020109341901,4
312020110373701,1
312021109341901,3
312021109554301,1
312022109160801,1
312022110562001,4
312023109321501,1
312023109570401,2
312024109331501,1
312024110291901,1
312025110080201,1
312026109155201,3
312026109155401,1
312026109564901,4
312026110081401,1
312026110373801,3
312027109141701,1
312027109155401,1
312027110133501,1
312027110485501,7
312028109142001,2
312029109365901,2
312030109141801,1
312030110052001,6
312031109503001,1
312031109563301,4
312031110363201,16
312032109141801,1
312032110555101,3
312033109563201,9
312036109261601,8
312036110385401,1
312037109351801,2
312037109392901,1
312037109394801,2
312037110510101,29
312038110510101,1
312039109453901,2
312039109560701,2
312039109561001,2
312039110080101,1
312039110082601,1
312039110084701,1
312040109153501,2
312040109154001,1
312042109032501,2
312042109345001,2
312042110133801,1
312043109365001,1
312043110152301,1
312044109154101,3
312044110135101,2
312044110141901,10
312044110152601,1
312045109332001,4
312045109503601,1
312045110134001,4
312045110135101,2
312045110135201,3
312046109332701,1
312046109422101,2
312046110135201,3
312046110135301,4
312046110554901,1
312047110134401,5
312047110135201,1
312047110135202,1
312047110135301,2
312047110142201,4
312047110505301,2
312048110083701,3
312048110090501,1
312048110134201,4
312048110134501,1
312048110504901,48
312049110134901,5
312049110134902,1
312050109154201,3
312050109331701,2
312050110134201,5
312050110135201,1
312050110135301,3
312050110135401,1
312050110504501,37
312051110135201,5
312052109135201,2
312052109352101,1
312052109353701,2
312052109572901,8
312052109573501,6
312052110135201,3
312052110141001,3
312053110152701,1
312054109352401,1
312054110162101,1
312055109364701,3
312056109364801,23
312056109473301,2
312056110080301,1
312057109552501,4
312057110224701,2
312057110502701,1
312057110552701,2
312058109322601,5
312058109531801,1
312058109552501,3
312058109582101,7
312058110504901,4
312059109135001,1
312059109321001,10
312059109551001,5
312059109573501,9
312059110010001,4
312100109552001,4
312100109552201,2
312101109375401,3
312101109532901,3
312101109561201,4
312102109401601,2
312102109551101,2
312102109552601,1
312102109553701,1
312103109531801,4
312103110082501,3
312103110325601,1
312104110381101,1
312105109551301,1
312106110041301,6
312107109350401,2
312107109362601,2
312107109384701,4
312107109552101,1
312108109271701,3
312108109345601,8
312108109522301,1
312108109552101,1
312109110352501,49
312109110551201,1
312109110580401,3
312110109362201,4
312110109362701,1
312110110081601,7
312110110083401,3
312110110123601,3
312111109240701,3
312111110573201,4
312112109363401,1
312112109533201,3
312112110140901,1
312113109363401,1
312116109334601,13
312116110351701,4
312116110554301,1
312117109023701,2
312117109154001,3
312117110364701,4
312118109384601,2
312118110364701,3
312119109181101,1
312119109524801,1
312119109564801,2
312119110351701,32
312120109181101,2
312120110070701,6
312120110100701,7
312121110482401,5
312121110504001,31
312121110504101,1
312122109220201,3
312122109361901,1
312122109363201,3
312122110490501,1
312123109351101,4
312123109351201,4
312123109390201,16
312123110484201,33
312123110503701,1
312123110554301,2
