,wellid,cadastralid,SITE_CADASTRAL_SOURCE_CODE,SITE_LOCAL_ID_MEASURE_DATE,AMA INA,Basin,Subbasin,YEAR,Owner or BMP Operator,Right Number,Right Type,Well Id,AF Pumped,Movement Type,Water Type,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LONG_DEGREES,LONG_MINUTES,LONG_SECONDS,PROGRAM,filename
0,334814112094701,A-05-02 04CAB,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,2016,ARIZONA GAME AND FISH DEPARTMENT,58-110097.0001,TYPE 2 NON-IRRIGATION GFR,623553,4.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_2016-2020.csv
1,334814112094701,A-05-02 04CAB,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,2017,ARIZONA GAME AND FISH DEPARTMENT,58-110097.0001,TYPE 2 NON-IRRIGATION GFR,623553,4.74,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_2016-2020.csv
2,334814112094701,A-05-02 04CAB,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,2018,ARIZONA GAME AND FISH DEPARTMENT,58-110097.0001,TYPE 2 NON-IRRIGATION GFR,623553,4.87,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_2016-2020.csv
3,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1984,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1984-1989.csv
4,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1985,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1984-1989.csv
5,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1987,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,8.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1984-1989.csv
6,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1988,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1984-1989.csv
7,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1989,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1984-1989.csv
8,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1990,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1990-1995.csv
9,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1991,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,1.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1990-1995.csv
10,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1992,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,0.75,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1990-1995.csv
11,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1993,STATE OF ARIZONA,58-107228.0000,TYPE 2 NON-IRRIGATION GFR,614028,0.45,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1990-1995.csv
12,334750112082001,A-05-02 10ABA,,,PHOENIX AMA,PHOENIX AMA,LAKE PLEASANT,1994,STATE OF ARIZONA,58-107228.0001,TYPE 2 NON-IRRIGATION GFR,614028,9.0,WITHDRAWAL,GROUNDWATER,,,,,,,58,/Users/matthewford/Desktop/Python files/GWSI_04142020/Data_Tables/pump_data_1990-1995.csv
